,x,y,z,dist,open
259,38.21538657833414,44.964735012480446,13.095590969954795,4.76338854830854,0
260,42.85393812379006,44.08815127109996,12.458950595290386,15.1886524331692,0
261,30.15997651290642,52.24667567384713,14.190129652120762,8.076951061797955,1
262,36.84277381794306,47.804367792043216,13.271838131013789,1.142812543820459,0
263,37.78990843356077,47.16776294210611,13.211086215417316,13.570908636747049,0
264,51.15016991096715,46.15323904692999,11.056157968727108,6.4231046200770034,0
265,56.66211702470516,42.9437762523794,10.298490135039224,11.314668192057901,0
266,45.91868195386266,46.17380091101373,11.77065177004144,7.504387794350937,0
267,52.98118486180503,43.8397891340176,10.776027284040708,4.692451557187733,0
268,48.68518602761707,42.1432714404137,11.603869870827687,13.013633557927136,0
269,36.539044315425045,46.453066205760315,13.407080609467839,5.304917318651834,0
270,31.686103201753642,48.48614380316208,14.083620178091143,5.309377781873592,0
271,102.63731161007284,25.943333075229006,7.790425795763446,4.324885930071229,0
272,138.11291581423245,14.67192771126247,4.643828604599598,3.832640004170047,1
273,155.85071791631225,9.036225029279201,3.070530009017674,3.586517041219456,1
274,173.58852001839205,3.4005223472959347,1.4972314134357496,3.340394078268865,1
275,172.35959184759852,0.5519328910137524,2.735579611125627,11.12237342306064,1
276,169.1534392870706,-9.444412506637482,6.409930575783586,4.54740442581517,1
277,170.3891591804677,-5.345772929813034,4.875969371491121,3.4837446821560962,1
278,171.75126589011973,-2.3745393096964227,3.670600922982321,3.917332626477875,1
279,172.9218656693212,1.0645029874103142,2.204934132025952,8.647137854472005,1
280,170.33704670861422,-6.602727317678553,5.255390403362972,12.059255927651039,1
281,173.47702295684846,4.251464035315675,1.0419912101109348,6.580637153539931,1
282,170.79541640556198,-1.1454455317406789,3.685310860789445,25.945454590534997,1
283,162.7798166310318,-24.363848260412396,12.04129966483143,1.1002759991536852,0
284,163.35363847959562,-23.678988218617903,11.399191820635705,20.00838774296334,0
285,172.17831685757318,-9.100977528610487,0.913857495014499,7.50110373157398,1
286,171.04286786346694,-16.180718212183418,3.1171696896384247,3.073974978803033,1
287,169.7884731252949,-13.426760517324892,2.5772317060857537,2.920144630327513,1
288,172.70521367395597,-13.300478296446657,2.5146055572579606,16.460193180662227,1
289,173.3285916276691,2.334298660287335,-2.5945146199079208,5.074713801725365,1
290,177.99238172413888,0.37793956933355677,-3.0121762206505958,19.854371342213394,1
291,180.93911922263902,-18.387539718398166,2.7644652440024884,5.37129614366518,1
292,179.8701757344833,-23.45513039128231,4.18844096506642,12.645955717965267,0
293,177.1496941068208,-33.21446115956608,11.756441935568402,6.6025043254105915,0
294,178.53305083737777,-39.275152323535316,13.980719377362359,65.21210308269389,0
295,201.2769615195058,17.891162611575574,-7.637452425336284,44.43976425232661,1
296,187.98577838403756,-21.957148621323345,6.865967500592659,10.389799388982313,0
297,113.2104956632755,14.555353127318574,9.480381736747976,22.091570302629886,1
298,75.82285430289446,32.81160400163953,10.787588854825634,27.942455759453672,0
299,57.12903362270394,41.939729438800015,11.441192413864464,30.867898487865567,0
300,38.435212942513424,51.06785487596049,12.094795972903292,33.79334121627746,1
301,118.9508547922033,43.74894458980218,-0.4357517295793327,25.92435245231072,0
302,199.46649664189317,36.43003430364387,-12.966299432061957,18.055363688343984,0
303,181.61375013129572,36.59310667191277,-10.273901365388314,28.198185643991046,0
304,153.8834545457316,34.825786622580175,-5.4733847063761365,11.76698963578491,0
305,165.50329995775047,34.73879823660936,-7.326401357720605,26.374702018640345,0
306,146.46191961897708,16.784399013854983,-4.056800477459836,68.14046304104082,1
307,95.94971576260302,62.30633398128142,-8.460594505449693,49.71917414248053,0
308,48.21858597570359,72.74792664395642,0.7431367674221016,93.54917277976128,1
309,132.28995861251767,31.795188520646423,-1.7718723663920073,3.1994716076318386,0
310,141.92071610912004,32.688190257728074,-3.4243265385140376,7.7908529910809765,0
311,146.73609485742122,33.134691126268905,-4.250553624575053,10.086543682805544,0
312,151.5514736057224,33.58119199480973,-5.076780710636068,12.382234374530114,0
313,146.34525641039278,33.14167953166513,-4.27312067274477,21.59588376051156,0
314,143.74214781272795,32.921923300092836,-3.8712906537991207,26.202708453502282,0
315,141.13903921506312,32.70216706852054,-3.469460634853472,30.809533146493003,0
316,110.74786277061453,31.95876596600159,1.5356449412575588,53.4207603176208,0
317,158.80609165562575,45.301621571287406,20.670755958574773,98.7948664558603,0
318,67.94445779506933,56.4920992545882,57.810523586294316,80.93675597473553,0
319,76.9520386617105,50.30637790276302,56.711471324047864,54.96942276956141,0
320,81.45582909503108,47.21351722685043,56.16194519292464,41.985756166974355,0
321,85.95961952835167,44.120656550937845,55.61241906180142,29.00208956438729,0
322,101.40458681198756,54.884279493254404,77.67411903854382,80.15176917053411,0
323,74.13444006207784,-11.975144415446195,112.46582253236038,12.001121372162302,0
324,79.37725060256977,19.831173972576874,92.60849006936161,27.619602794348303,0
325,81.99865587281575,35.73433316658841,82.67982383786222,35.42884350544131,0
326,84.62006114306172,51.63749236059994,72.75115760636284,43.238084216534304,0
327,125.30205271658266,40.26109992183557,63.52699458702562,32.19247976751884,0
328,93.33391413955476,36.90281323943992,61.76183735298255,10.821261284614916,0
329,92.95294200669846,36.305739434069515,50.963779245395195,6.19625699333861,0
330,98.33439751662368,38.22543992741751,53.36133786574895,70.04660688990343,0
331,40.52368345542074,52.15841041461913,16.343493386021777,48.960866217204256,1
332,81.55410604661932,36.2552661831867,37.808833967547415,16.886538148513434,0
333,69.45601770834723,32.235312178486865,26.734927746133845,19.158054378506424,0
334,88.57579613377833,33.43722347167814,26.591645592576366,15.663622524951776,0
335,74.49794764826937,35.08337562031099,19.924304613836682,20.48369816396807,0
336,94.93714193779452,34.04554368780564,20.78693555894805,6.729774453979626,0
337,101.05570334803035,33.70742895694954,18.005074868800563,1.2075909882762426,0
338,99.87553223145828,33.77694573240021,17.758823881988388,24.759354592988803,0
339,116.3410337314058,49.64711177567095,8.269317573670875,27.68212580039361,1
340,88.85554959832497,50.065552594853024,11.536297536851187,11.717752218638966,0
341,86.08223597297747,39.084361200645716,14.54094130220303,15.676023319647928,0
342,90.36575810808428,53.63508660085907,10.58297015983961,1.9304587151181958,0
343,91.35431595884808,55.25841593457872,10.244996639050827,1.0024200065680084,0
344,92.21440326760643,55.7481367048716,10.08603356779095,14.757296941211882,0
