,lks
0,0.035276749559367694
1,0.0353500471295168
2,0.03559532016515732
3,0.03209466013746957
4,0.036023957654833794
5,0.03598371155870458
6,0.034747851624464
7,0.03534220407406489
8,0.0342553222241501
9,0.03373497196783622
10,0.03404654484863082
11,0.03426398515390853
12,0.033010114605228104
13,0.03466661064885557
14,0.03496679197996855
15,0.03344743768684566
16,0.03300011111423373
17,0.03304148403306802
18,0.033608474458257355
19,0.033605882354701556
20,0.03330042057981094
21,0.03278300282545388
22,0.03344969994698962
23,0.03198857450236877
24,0.03242083413836857
25,0.03155012886660794
26,0.030904879405473668
27,0.028759247390553355
28,0.02864739306581517
29,0.02912035638776918
30,0.028764558567975957
31,0.0291486200876534
32,0.02917697754067679
33,0.03266800163934628
34,0.03389477333985269
35,0.03391640920502444
36,0.032979851899047695
37,0.03392748278565705
38,0.03447779516379038
39,0.03462308544355134
40,0.03246529710789522
41,0.03441608425540229
42,0.035571520837644734
43,0.033988415418813624
44,0.034470250053952135
45,0.0355257800159355
46,0.03535252211925884
47,0.035282327948759
48,0.03502143546938896
49,0.035147169682507716
50,0.033979955362156034
51,0.034475326305255294
52,0.034258611888314285
53,0.03446269501000643
54,0.0341550411346058
55,0.03573221224360168
56,0.03717681051542362
57,0.03509590355679393
58,0.03744626433278123
59,0.035185886935020484
60,0.03563418883519868
61,0.03688298441314449
62,0.03755161624091367
63,0.033895453438162804
64,0.03291134245228022
65,0.03293964173644781
66,0.033705329056829214
67,0.03341688782287141
68,0.03175925898055235
69,0.03482021430196861
70,0.03300654593234261
71,0.03451035637408495
72,0.03454539063386619
73,0.0356885880852739
74,0.03081049514003098
75,0.038798505906015635
76,0.036044286408772074
77,0.0323418538706998
78,0.032848242515077196
79,0.037622386667256556
80,0.03417773048082987
81,0.0360379241562138
82,0.037386171597366534
83,0.037355031818151474
84,0.039836115669459105
85,0.03759364038705826
86,0.035600324937452875
87,0.037176056765019894
88,0.03786440116042892
89,0.03707846013518671
90,0.03692925729167958
91,0.03710808100489279
92,0.03660231386311352
93,0.03633274851987759
94,0.03632857728128632
95,0.035920995908478894
96,0.03626169931764404
97,0.0418561224360019
98,0.0365614159964025
99,0.03684637315260867
100,0.04290183059250315
101,0.03842355799861252
102,0.0386891330126673
103,0.042999293111885585
104,0.03852969555494686
105,0.03789655352011323
106,0.04015031006808082
107,0.03916317278829714
108,0.03946309497890373
109,0.040098060853779316
110,0.03929523634724319
111,0.04158710866856078
112,0.03739671362563968
113,0.042185436313351
114,0.04133282283631464
115,0.03701419957603017
116,0.04046038530456523
117,0.04123926589575907
118,0.036057017549561955
119,0.04067789080242316
120,0.04222727846354246
121,0.03865647967904806
122,0.03843928512651473
123,0.040263435492912926
124,0.03715813679931065
125,0.03772915224544704
126,0.03994265004682044
127,0.038477112616722785
128,0.039298291473339
129,0.03765160241164267
130,0.04051485483068973
131,0.040436332346871495
132,0.03925155374842385
133,0.03895231786494454
134,0.0381695250980556
135,0.03713372916293641
136,0.03818488035661479
137,0.0386013617583861
138,0.038997728299970426
139,0.03965491553147634
140,0.03971345637304088
141,0.04094040331741174
142,0.04026129965980848
143,0.03904290896995614
144,0.04049978692394992
145,0.03936111616591612
146,0.039544349924350776
147,0.03582605952396989
148,0.03927112378490468
149,0.039304057601839304
150,0.036767861573025584
151,0.03933765933228036
152,0.04120871804965039
153,0.0398873920009161
154,0.040781855078724526
155,0.04101448692381382
156,0.04088037527011087
157,0.04047362723698219
158,0.04581770421161006
159,0.042185491028552256
160,0.04065949097275734
161,0.03841462863298754
162,0.03774204031409075
163,0.03686861208795259
164,0.0409651540297394
165,0.037145644038294755
166,0.04011300144096216
167,0.03952004298722992
168,0.03506192747348299
169,0.03493780340068042
170,0.041482046518164374
